column,key,value
STRATUM,24603,"FIN: Southern Finland, rural"
STRATUM,24604,"FIN: Southern Finland, urban"
STRATUM,24605,"FIN: Eastern Finland, rural"
STRATUM,24606,"FIN: Eastern Finland, urban"
STRATUM,24607,"FIN: Mid-Finland, rural"
STRATUM,24608,"FIN: Mid-Finland, urban"
STRATUM,24609,"FIN: Northern Finland, rural"
STRATUM,24610,"FIN: Northern Finland, urban"
STRATUM,24611,"FIN: Ahvenanmaa, rural"
STRATUM,24612,"FIN: Ahvenanmaa, urban"
STRATUM,25001,FRA: Lycées généraux et technologiques
STRATUM,25002,FRA: Collèges
STRATUM,25003,FRA: Lycées professionnels
STRATUM,25004,FRA: Lycées agricoles
STRATUM,25005,FRA: Moderately Small schools
STRATUM,25006,FRA: Very Small schools
STRATUM,82601,GBR: Scotland: SGRADE_LOW
STRATUM,82602,GBR: Scotland: SGRADE_LOWMID
STRATUM,82603,GBR: Scotland: SGRADE_MID
STRATUM,82604,GBR: Scotland: SGRADE_HIGHMID
STRATUM,82605,GBR: Scotland: SGRADE_HIGH
STRATUM,82611,GBR: NONPRU_ENG
STRATUM,82612,GBR: NI
STRATUM,82613,GBR: WALES
STRATUM,82615,GBR: CERTAINTY
STRATUM,30001,GRC: Stratum 01
STRATUM,30002,GRC: Stratum 02
STRATUM,30003,GRC: Stratum 03
STRATUM,30004,GRC: Stratum 04
STRATUM,30005,GRC: Stratum 05
STRATUM,30006,GRC: Stratum 06
STRATUM,30007,GRC: Stratum 07
STRATUM,30008,GRC: Stratum 08
STRATUM,30009,GRC: Stratum 09
STRATUM,30010,GRC: Stratum 10
STRATUM,30011,GRC: Stratum 11
STRATUM,30012,GRC: Stratum 12
STRATUM,30013,GRC: Stratum 13
STRATUM,30014,GRC: Stratum 14
STRATUM,30015,GRC: Stratum 15
STRATUM,30016,GRC: Stratum 16
STRATUM,34401,HKG: Government
STRATUM,34402,HKG: Aided or Caput
STRATUM,34403,HKG: Private
STRATUM,34404,HKG: Direct Subsidy Scheme
STRATUM,19197,HRV: Stratum 97
STRATUM,34802,HUN: VOC
STRATUM,34803,HUN: SCNDRY_VOC
STRATUM,34804,HUN: GRAMMAR
STRATUM,34805,HUN: MSS
STRATUM,34806,HUN: VSS
STRATUM,36001,IDN: Stratum 01
STRATUM,36002,IDN: Stratum 02
STRATUM,36003,IDN: Stratum 03
STRATUM,36004,IDN: Stratum 04
STRATUM,36005,IDN: Stratum 05
STRATUM,36007,IDN: Stratum 07
STRATUM,36008,IDN: Stratum 08
STRATUM,36009,IDN: Stratum 09
STRATUM,36010,IDN: Stratum 10
STRATUM,36011,IDN: Stratum 11
STRATUM,36012,IDN: Stratum 12
STRATUM,36013,IDN: Stratum 13
STRATUM,36014,IDN: Stratum 14
STRATUM,36015,IDN: Stratum 15
STRATUM,36016,IDN: Stratum 16
STRATUM,36017,IDN: Stratum 17
STRATUM,36018,IDN: Stratum 18
STRATUM,36019,IDN: Stratum 19
STRATUM,36020,IDN: Stratum 20
STRATUM,36022,IDN: Stratum 22
STRATUM,36023,IDN: Stratum 23
STRATUM,36024,IDN: Stratum 24
STRATUM,36026,IDN: Stratum 26
STRATUM,36028,IDN: Stratum 28
STRATUM,36029,IDN: Stratum 29
STRATUM,36030,IDN: Stratum 30
STRATUM,36031,IDN: Stratum 31
STRATUM,36032,IDN: Stratum 32
STRATUM,37201,"IRL: Enrollment size <,40"
STRATUM,37202,IRL: Enrollment size between 41 and 80
STRATUM,37203,IRL: Enrollment size > 80
STRATUM,35201,ISL: Reykjavik
STRATUM,35202,ISL: Reykjavik neighbouring munincipalities
STRATUM,35203,ISL: Reykjanes peninsula
STRATUM,35204,ISL: West
STRATUM,35205,ISL: West fjords
STRATUM,35206,ISL: North-West
STRATUM,35207,ISL: North-East
STRATUM,35208,ISL: East
